"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","hsa00970 Aminoacyl-tRNA biosynthesis",0.632302405498282,0.90003405467323,0.0598603117764473,-0.326747418416699,-0.861280121417427,44,"c(""EPRS1"", ""GARS1"", ""TARS1"", ""NARS1"", ""DARS2"", ""IARS2"", ""DARS1"", ""IARS1"", ""FARSB"", ""SARS1"", ""TARS3"", ""WARS2"", ""LARS1"", ""RARS1"", ""SARS2"", ""YARS2"", ""YARS1"", ""RARS2"", ""KARS1"", ""QRSL1"", ""CARS1"", ""VARS1"", ""AARS1"")"
"2","hsa02010 ABC transporters",0.0667808219178082,0.363840340103921,0.227987202850442,-0.581976383710516,-1.5416185017998,45,"c(""ABCG8"", ""ABCB11"", ""CFTR"", ""DEFB1"", ""ABCG5"", ""ABCC6"", ""ABCA4"", ""ABCA12"", ""ABCA6"", ""ABCB4"", ""ABCA8"")"
"3","hsa03008 Ribosome biogenesis in eukaryotes",0.35108153078203,0.729880024520536,0.0883594442500905,-0.377363039139882,-1.07775718870497,75,"c(""RIOK1"", ""NOP58"", ""RPP25"", ""GAR1"", ""MPHOSPH10"", ""NMD3"", ""CSNK2A3"", ""SBDS"", ""HEATR1"", ""GNL2"", ""WDR43"", ""WDR75"", ""XRN2"", ""GNL3"", ""RPP40"", ""WDR36"", ""GTPBP4"", ""CSNK2A2"", ""NVL"", ""RIOK2"", ""UTP15"", ""EFL1"", ""WDR3"", ""REXO2"", ""UTP18"", ""MDN1"", ""RAN"", ""NOB1"", ""UTP14A"", ""DROSHA"", ""NXT2"", ""RBM28"", ""UTP4"", ""XRN1"", ""FBL"", ""XPO1"", ""DKC1"", ""BMS1"", ""TCOF1"", ""FCF1"", ""FBLL1"", ""UTP6"", ""CSNK2A1"", ""NOP56"", ""REXO5"", ""AFG2A"", ""NXT1"", ""LSG1"", ""POP7"", ""EIF6"", ""RPP30"", ""LOC102724159"", ""NOP10"")"
"4","hsa03010 Ribosome",0.193215339233038,0.576000445260756,0.11776578836269,-0.373198099056469,-1.17904512116789,165,"c(""RPL22L1"", ""RPS24"", ""MRPL1"", ""MRPS36"", ""RPL34"", ""RPL21"", ""RPSA2"", ""RPL36AL"", ""RSL24D1"", ""RPL5"", ""RPL26"", ""RPL26L1"", ""MRPS9"", ""MRPL3"", ""MRPL32"", ""RPS27"", ""MRPL39"", ""MRPS31"", ""MRPL47"", ""RPL11"", ""RPS3A"", ""RPS4X"", ""MRPS14"", ""RPL14"", ""RPS7"", ""RPL23"", ""RPS13"", ""RPS12"", ""MRPL19"", ""RPS23"", ""RPL6"", ""RPS25"", ""MRPS18C"", ""RPS20"", ""RPL9"", ""RPLP0"", ""RPL4"", ""MRPS15"", ""RPL7"", ""RPL38"", ""MRPL37"", ""MRPS35"", ""RPS26"", ""MRPL9"", ""MRPS10"", ""RPL10A"", ""RPL35A"", ""RPL36A"", ""RPL13"", ""RPL24"", ""MRPS30"", ""MRPL18"", ""RPL23A"", ""RPL32"", 
""RPL37"", ""MRPL50"", ""RPL39"", ""RPS18"", ""MRPL33"", ""RPS6"", ""RPS15A"", ""RPS27A"", ""RPL31"", ""RPL27A"", ""RPL15"", ""RPSA"", ""MRPL44"", ""RPL35"", ""RPS21"", ""RPL7A"", ""MRPL13"", ""RPS27L"", ""MRPL21"", ""MRPL42"", ""RPL30"", ""RPL19"", ""RPL27"", ""MRPS22"", ""RACK1"", ""DAP3"", ""RPS5"", ""RPS8"", ""RPS11"", ""MRPS21"", ""RPS4Y1"", ""MRPL48"", ""RPL3"", ""RPS3"")"
"5","hsa03013 Nucleocytoplasmic transport",0.571428571428571,0.863635278672873,0.0619762736001998,-0.305892704874637,-0.908374280702956,104,"c(""THOC7"", ""IPO7"", ""IPO5"", ""TPR"", ""UPF3B"", ""KPNA3"", ""PHAX"", ""CSE1L"", ""SAP18"", ""KPNA5"", ""NMD3"", ""XPOT"", ""XPO4"", ""RBM8A"", ""PNN"", ""AHCTF1"", ""EEF1A1"", ""NUP58"", ""UPF3A"", ""NUP155"", ""UPF2"", ""NUP54"", ""TMEM33"", ""THOC1"", ""RANBP2"", ""THOC2"", ""SUMO4"", ""NUP133"", ""NDC1"", ""NUP153"", ""SUMO1"", ""RANBP17"", ""MAGOHB"", ""NCBP1"", ""SUMO2"", ""NUP210L"", ""KPNA4"", ""NUP107"", ""KPNA2"", ""NUP43"", ""SENP2"", ""NUP205"", ""KPNB1"", ""POM121"", ""SRRM1"", ""TNPO1"", ""RAN"", ""IPO8"", ""SNUPN"", ""NUP35"", ""NCBP2"", ""IPO11"", ""POM121C"", ""NUP50"", ""NXT2"", ""SEH1L"", 
""TNPO3"", ""MAGOH"", ""XPO1"", ""NUP93"", ""THOC5"", ""RAE1"", ""XPO5"", ""NUP160"", ""NUP37"", ""XPO7"")"
"6","hsa03015 mRNA surveillance pathway",0.713815789473684,0.992593957258659,0.0521630305460055,-0.285871157668162,-0.834499214482773,90,"c(""PAPOLB"", ""MSI1"", ""UPF3B"", ""SAP18"", ""PABPC4L"", ""PPP2R5E"", ""PPP2CB"", ""RBM8A"", ""PNN"", ""UPF3A"", ""HBS1L"", ""PPP2R5A"", ""UPF2"", ""PABPC1"", ""ETF1"", ""MAGOHB"", ""NCBP1"", ""PPP1CB"", ""FIP1L1"", ""PELO"", ""PABPC4"", ""CSTF1"", ""CPSF3"", ""NUDT21"", ""RNGTT"", ""PABPC5"", ""PPP2R3C"", ""GSPT1"", ""PAPOLG"", ""SRRM1"", ""PAPOLA"", ""SMG7"", ""PCF11"", ""PPP1CC"", ""NCBP2"", ""NXT2"", ""MAGOH"", ""PPP2R3A"", ""PPP2R2A"", ""CPSF2"", ""PPP2R2D"", ""RNMT"", ""SMG1"", ""PPP2R1B"")"
"7","hsa03018 RNA degradation",0.465430016863406,0.812960645251008,0.0739901439101341,-0.340709191829561,-0.971709011338757,74,"c(""PNPT1"", ""HSPA9"", ""HSPD1"", ""PABPC4L"", ""BTG3"", ""EXOSC9"", ""DIS3"", ""LSM3"", ""LSM5"", ""DHX36"", ""TENT4B"", ""C1D"", ""ENO2"", ""XRN2"", ""EXOSC8"", ""PABPC1"", ""MPHOSPH6"", ""SKIC3"", ""CNOT7"", ""PABPC4"", ""PABPC5"", ""CNOT4"", ""MTREX"", ""DCP1B"", ""ZCCHC7"", ""EXOSC3"", ""LSM8"", ""CNOT6"", ""PAN3"", ""PATL1"", ""XRN1"", ""CNOT2"", ""PARN"")"
"8","hsa03020 RNA polymerase",0.821052631578947,1,0.048701086452153,-0.290644009299544,-0.734756954343974,34,"c(""POLR1F"", ""POLR3G"", ""POLR2I"", ""POLR1D"", ""POLR3C"", ""POLR3GL"", ""POLR2K"", ""POLR2B"", ""POLR2M"", ""POLR1B"", ""POLR3B"", ""POLR3F"", ""POLR2D"", ""CRCP"", ""POLR1E"", ""POLR2C"", ""POLR2H"", ""POLR1G"", ""POLR2J"")"
"9","hsa03022 Basal transcription factors",0.286458333333333,0.711415904682738,0.102821842840815,-0.429272930382256,-1.113662224996,42,"c(""GTF2F2"", ""TAF9B"", ""TAF13"", ""MNAT1"", ""TAF7L"", ""GTF2H1"", ""GTF2E2"", ""CDK7"", ""GTF2A1"", ""TAF7"", ""TAF5L"", ""GTF2A2"", ""TAF1L"", ""TBPL1"", ""TAF3"", ""TAF11"", ""TAF4B"", ""CCNH"", ""TAF12"", ""GTF2I"", ""GTF2H5"", ""GTF2H3"", ""TAF4"", ""GTF2B"", ""TAF15"", ""TAF2"")"
"10","hsa03030 DNA replication",0.420875420875421,0.812960645251008,0.0791316651768349,-0.388516405562785,-1.00433603940782,36,"c(""RFC3"", ""PCNA"", ""RFC1"", ""RPA4"", ""RFC5"", ""POLE2"", ""MCM6"", ""SSBP1"", ""RFC4"", ""MCM3"", ""MCM4"", ""MCM7"", ""RFC2"", ""DNA2"", ""RPA1"", ""POLE"", ""POLA1"", ""PRIM2"", ""POLE3"")"
