Gene	Signature
CST3	LAMP3_DC
LAMP3	LAMP3_DC
IDO1	LAMP3_DC
CD274	LAMP3_DC
LTB	LAMP3_DC
CCL19	LAMP3_DC
CCR7	LAMP3_DC
KIR3DL1	Antigen_Presentation
KIR2DL3	Antigen_Presentation
KIR2DS4	Antigen_Presentation
KIR3DL2	Antigen_Presentation
KIR2DL4	Antigen_Presentation
TNF	Antigen_Presentation
TAP1	Antigen_Presentation
HLA-DQB2	Antigen_Presentation
HLA-G	Antigen_Presentation
HLA-B	Antigen_Presentation
HLA-A	Antigen_Presentation
HLA-DOB	Antigen_Presentation
HLA-DQA1	Antigen_Presentation
HLA-DRB1	Antigen_Presentation
HLA-DOA	Antigen_Presentation
PSME2	Antigen_Presentation
CD4	Antigen_Presentation
IFNG	Antigen_Presentation
PRKCG	NK_Cytoxicity
LOC102723407	NK_Cytoxicity
SH2D1B	NK_Cytoxicity
NCR3	NK_Cytoxicity
NCR1	NK_Cytoxicity
ULBP2	NK_Cytoxicity
LAT2	NK_Cytoxicity
ICAM1	NK_Cytoxicity
MICB	NK_Cytoxicity
PRF1	NK_Cytoxicity
FABP1	PPAR_Signaling
CYP8B1	PPAR_Signaling
ACADL	PPAR_Signaling
FABP4	PPAR_Signaling
CYP7A1	PPAR_Signaling
