Gene_ID,B16_antiXBH25_08,B16_antiXBH25_17,B16_antiXBH25_19,B16_ctrl_10,B16_ctrl_11,B16_ctrl_22,CT26_antiXBH25_03,CT26_antiXBH25_21,CT26_antiXBH25_46,CT26_ctrl_04,CT26_ctrl_12,CT26_ctrl_27,CT26_ctrl_34,CT26_ctrl_39,CT26_ctrl_41,LLC_antiXBH25_35,LLC_antiXBH25_43,LLC_antiXBH25_54,LLC_ctrl_29,LLC_ctrl_39,LLC_ctrl_42,EMT6_antiXBH25_4,EMT6_antiXBH25_5,EMT6_antiXBH25_6,EMT6_isotype-ctrl_1,EMT6_isotype-ctrl_3,EMT6_isotype-ctrl_7
Snrpn,0.15,0.42,0.36,0.07,0.05,0.04,0.15,0.11,0.12,0.1,0.17,0.36,0.0,0.14,0.17,9.22,8.85,9.88,10.98,10.92,9.98,0.99,0.13,0.27,0.31,0.14,1.58
Gm25418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir3103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm23654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Igkv3-4,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rplp1-ps1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olfr1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vnn3,0.55,0.13,0.3,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.25,0.51,0.57,0.46,0.62,0.0,0.0,0.07,0.08,0.15,0.16
Rbm47,0.68,0.35,0.26,0.28,0.2,0.27,1.64,2.53,1.48,1.59,1.36,0.77,2.05,2.96,3.06,6.59,6.73,4.3,6.74,4.82,5.18,6.63,8.1,4.29,7.65,6.73,7.1
