"","Expression","CellName","Sample","Tissue","nUMI","nGene","Sub_Cluster","CancerType","Global_Cluster","Global_UMAP_1","Global_UMAP_2","IGSF8","KIR3DL2","CD274"
"121896197609396-GSM3148613_BC03_TUMOR5_counts.csv",0,"121896197609396-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",479.343915700002,242,"Macro_C1QC","BRCA","Macro",-3.0082636,3.5133517,0,0,0
"122302223043941-GSM3148613_BC03_TUMOR5_counts.csv",0,"122302223043941-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",561.9244616,336,"Mono_CD14","BRCA","Mono",1.9858106,5.651798,0,0,0
"122302223272884-GSM3148613_BC03_TUMOR5_counts.csv",0,"122302223272884-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",533.082936600001,314,"Macro_CX3CR1","BRCA","Macro",-5.929585,4.7437015,0,0,0
"130545108801948-GSM3148613_BC03_TUMOR5_counts.csv",0,"130545108801948-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",589.904355599998,380,"Mono_CD14","BRCA","Mono",1.5670942,5.191269,0,0,0
"131286879358260-GSM3148613_BC03_TUMOR5_counts.csv",0,"131286879358260-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",559.250882099998,351,"Macro_ISG15","BRCA","Macro",-0.8721377,4.9674754,0,0,0
"131286880077622-GSM3148613_BC03_TUMOR5_counts.csv",0,"131286880077622-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",731.549025680009,667,"cDC2_CD1C","BRCA","cDC2",-2.2369974,8.299121,0,0,0
"134607990810358-GSM3148613_BC03_TUMOR5_counts.csv",0,"134607990810358-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",577.719658899998,353,"Mono_CD14","BRCA","Mono",-0.8753444,5.7963586,0,0,0
"134607992994611-GSM3148613_BC03_TUMOR5_counts.csv",0,"134607992994611-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",691.508869599997,543,"cDC2_CD1C","BRCA","cDC2",-1.6657507,6.3936977,0,0,0
"134952902351581-GSM3148613_BC03_TUMOR5_counts.csv",0,"134952902351581-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",507.395050800002,275,"Mono_CD16","BRCA","Mono",0.74389136,7.1023164,0,0,0
"135012927036779-GSM3148613_BC03_TUMOR5_counts.csv",0,"135012927036779-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",557.3799276,348,"Macro_C1QC","BRCA","Macro",-2.9490027,3.0707114,0,0,0
"135012931459878-GSM3148613_BC03_TUMOR5_counts.csv",0,"135012931459878-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",475.553515500002,240,"cDC2_CD1C","BRCA","cDC2",-2.38723,6.3477573,0,0,0
"156049816041382-GSM3148613_BC03_TUMOR5_counts.csv",0,"156049816041382-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",596.6222583,490,"cDC2_CD1C","BRCA","cDC2",-2.7377367,6.279096,0,0,0
"161539704089435-GSM3148613_BC03_TUMOR5_counts.csv",0,"161539704089435-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",455.939361799999,226,"cDC2_CD1C","BRCA","cDC2",-2.663903,5.257539,0,0,0
"164776078170411-GSM3148613_BC03_TUMOR5_counts.csv",0,"164776078170411-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",559.327923099997,336,"Macro_ISG15","BRCA","Macro",0.12718888,4.8795366,0,0,0
"165737913605340-GSM3148613_BC03_TUMOR5_counts.csv",0,"165737913605340-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",519.865431100002,301,"Macro_C1QC","BRCA","Macro",-3.9161828,4.848863,0,0,0
"165737917233075-GSM3148613_BC03_TUMOR5_counts.csv",0,"165737917233075-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",698.569510000004,553,"Mono_CD14","BRCA","Mono",-0.1903417,4.6904707,0,0,0
"165936522484140-GSM3148613_BC03_TUMOR5_counts.csv",0,"165936522484140-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",624.809939899997,434,"Mono_CD14","BRCA","Mono",-1.8601195,5.407303,0,0,0
"166357847960883-GSM3148613_BC03_TUMOR5_counts.csv",0,"166357847960883-GSM3148613_BC03_TUMOR5_counts.csv","BC03","T",659.150157700002,480,"cDC1_CLEC9A","BRCA","cDC1",-4.8284793,8.244012,0,0,0
