"","Expression","CellName","Sample","Tissue","nUMI","nGene","Sub_Cluster","CancerType","Global_Cluster","Global_UMAP_1","Global_UMAP_2","IGSF8","KIR3DL2","CD274"
"WMC329633-GSM3496441_AB4234.txt",0.244866348023342,"WMC329633-GSM3496441_AB4234.txt","p5","T",829.327979300007,679,"Macro_C1QC","MEL","Macro",-0.6397216,-1.149896,0.9291597,0,0
"WMC329634-GSM3496441_AB4234.txt",0,"WMC329634-GSM3496441_AB4234.txt","p5","T",1009.68694442999,1007,"Macro_C1QC","MEL","Macro",1.333601,-0.23247018,0,0,0
"WMC329635-GSM3496441_AB4234.txt",0,"WMC329635-GSM3496441_AB4234.txt","p5","T",1071.80412539998,1563,"Macro_C1QC","MEL","Macro",1.79103,-0.5016424,0,0,0
"WMC329636-GSM3496441_AB4234.txt",0,"WMC329636-GSM3496441_AB4234.txt","p5","T",1251.05335547999,2169,"Macro_C1QC","MEL","Macro",2.8380213,-1.0787863,0,0,0
"WMC329637-GSM3496441_AB4234.txt",0,"WMC329637-GSM3496441_AB4234.txt","p5","T",1027.38698581998,1137,"Macro_C1QC","MEL","Macro",0.37803945,-1.5934299,0,0,0
"WMC329638-GSM3496441_AB4234.txt",0,"WMC329638-GSM3496441_AB4234.txt","p5","T",1188.79762731,1376,"Macro_C1QC","MEL","Macro",2.4223545,-0.75903475,0,0,0
"WMC329639-GSM3496441_AB4234.txt",0,"WMC329639-GSM3496441_AB4234.txt","p5","T",836.180974799995,594,"Mono_CD14","MEL","Mono",0.39377576,-3.0587933,0,0,0
"WMC329641-GSM3496441_AB4234.txt",0,"WMC329641-GSM3496441_AB4234.txt","p5","T",842.614243120002,709,"Macro_C1QC","MEL","Macro",-1.0890687,-1.1505498,0,0,0
"WMC329642-GSM3496441_AB4234.txt",0,"WMC329642-GSM3496441_AB4234.txt","p5","T",813.814961000003,588,"Macro_VCAN","MEL","Macro",3.354553,-3.872235,0,0,0
"WMC329643-GSM3496441_AB4234.txt",0.122885771411226,"WMC329643-GSM3496441_AB4234.txt","p5","T",1119.76253816999,1600,"Macro_C1QC","MEL","Macro",2.8841739,-1.5464509,0.41581574,0,0
